entiteitnummer;haltenummer;omschrijving;omschrijvingLang;gemeentenummer;omschrijvingGemeente;districtCode;geoCoordinaat;halteToegankelijkheden;hoofdHalte;taal;links;latitude;longitude;locatie
2;202611;Molzelestraat;Oostakker Molzelestraat;-1;Oostakker;OAK;"{""latitude"": 51.103896441179344, ""longitude"": 3.77560717075692}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202611""}]";51.103896441179344;3.77560717075692;51.103896441179344,3.77560717075692
2;202612;Paelinckstraat;Oostakker Paelinckstraat;-1;Oostakker;OAK;"{""latitude"": 51.10638424735467, ""longitude"": 3.7733910023568726}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202612""}]";51.10638424735467;3.7733910023568726;51.10638424735467,3.7733910023568726
2;202613;Wittewalle;Oostakker Wittewalle;-1;Oostakker;OAK;"{""latitude"": 51.10806563022738, ""longitude"": 3.7806519935705523}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202613""}]";51.10806563022738;3.7806519935705523;51.10806563022738,3.7806519935705523
2;202615;Nokerstraat;Lochristi Nokerstraat;-1;Lochristi;LOC;"{""latitude"": 51.11024875354939, ""longitude"": 3.8006020356204453}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202615""}]";51.11024875354939;3.8006020356204453;51.11024875354939,3.8006020356204453
2;202645;Spaarstraat;Gent Spaarstraat;-1;Gent;GNT;"{""latitude"": 51.06615259462037, ""longitude"": 3.722828547782936}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202645""}]";51.06615259462037;3.722828547782936;51.06615259462037,3.722828547782936
2;202646;Sint-Lucas Biervlietstraat;Gent Sint-Lucas Biervlietstraat;-1;Gent;GNT;"{""latitude"": 51.06487304368324, ""longitude"": 3.7189943503863763}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202646""}]";51.06487304368324;3.7189943503863763;51.06487304368324,3.7189943503863763
2;202651;Grensstraat;Gent Grensstraat;-1;Gent;GNT;"{""latitude"": 51.07607821243098, ""longitude"": 3.7149432845334833}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202651""}]";51.07607821243098;3.7149432845334833;51.07607821243098,3.7149432845334833
2;202652;Spoorwegstraat;Wondelgem Spoorwegstraat;-1;Wondelgem;WON;"{""latitude"": 51.08049119272167, ""longitude"": 3.7164371834089693}";MOTORISCH_MET_ASSIST;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202652""}]";51.08049119272167;3.7164371834089693;51.08049119272167,3.7164371834089693
2;202757;Keuze;Drongen Keuze;-1;Drongen;DRO;"{""latitude"": 51.0389339331157, ""longitude"": 3.6339470215267498}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202757""}]";51.0389339331157;3.6339470215267498;51.0389339331157,3.6339470215267498
2;202759;Metagra;Drongen Metagra;-1;Drongen;DRO;"{""latitude"": 51.0437216118707, ""longitude"": 3.5995485188156615}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202759""}]";51.0437216118707;3.5995485188156615;51.0437216118707,3.5995485188156615
2;202762;Baarleboslaan;Drongen Baarleboslaan;-1;Drongen;DRO;"{""latitude"": 51.03409962143323, ""longitude"": 3.6087453584099616}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202762""}]";51.03409962143323;3.6087453584099616;51.03409962143323,3.6087453584099616
2;202931;Schooldreef;Gentbrugge Schooldreef;-1;Gentbrugge;GBR;"{""latitude"": 51.031505478518206, ""longitude"": 3.7612694570714664}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202931""}]";51.031505478518206;3.7612694570714664;51.031505478518206,3.7612694570714664
2;203007;Tolhuisbrug;Gent Tolhuisbrug;-1;Gent;GNT;"{""latitude"": 51.06942957573178, ""longitude"": 3.7270207888422786}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203007""}]";51.06942957573178;3.7270207888422786;51.06942957573178,3.7270207888422786
